time_s,q0,qdot0,tau0,q1,qdot1,tau1,q2,qdot2,tau2,q3,qdot3,tau3,q4,qdot4,tau4,q5,qdot5,tau5,q6,qdot6,tau6,q7,qdot7,tau7,q8,qdot8,tau8,q9,qdot9,tau9,q10,qdot10,tau10,q11,qdot11,tau11,command_0,command_1,command_2,imu_accel_x,imu_accel_y,imu_accel_z
1.555510997772216797e+01,7.105398178100585938e-02,-1.472699046134948730e+00,7.916250228881835938e-01,1.155102133750915527e+00,-7.921570301055908203e+00,-5.887711048126220703e+00,-1.741071820259094238e+00,-3.643666505813598633e+00,-1.024164867401123047e+01,1.634758114814758301e-01,1.821496188640594482e-01,-1.187437534332275391e+00,1.063936471939086914e+00,1.337055683135986328e+00,-1.125591850280761719e+01,-1.520546197891235352e+00,3.427311182022094727e+00,-1.066838455200195312e+01,2.513212561607360840e-01,3.821266412734985352e+00,-2.152230501174926758e+00,1.593303322792053223e+00,9.142360687255859375e+00,1.632726669311523438e+00,-1.580637812614440918e+00,6.322833061218261719e+00,8.676952362060546875e+00,-4.622344970703125000e-01,-1.038640379905700684e+00,6.159832000732421875e+00,1.296492576599121094e+00,3.208933830261230469e+00,-3.488097667694091797e+00,-1.685387611389160156e+00,6.480549812316894531e+00,1.256498527526855469e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.299630641937255859e+00,-9.744400978088378906e-01,1.193030738830566406e+01
1.557582378387451172e+01,4.637777805328369141e-02,-1.433943808078765869e-01,1.979062557220458984e+00,8.798793554306030273e-01,-1.228540992736816406e+01,-5.442422032356262207e-01,-1.963540554046630859e+00,-9.970542907714843750e+00,-2.370752096176147461e-01,1.700157523155212402e-01,8.022334575653076172e-01,-4.205507934093475342e-01,9.901500940322875977e-01,-8.557156562805175781e+00,-1.108275032043457031e+01,-1.592074871063232422e+00,-8.324625015258789062e+00,-1.175893020629882812e+01,3.232000470161437988e-01,1.666475236415863037e-01,-4.675535202026367188e+00,1.736788511276245117e+00,2.550094842910766602e+00,-6.431953310966491699e-01,-1.284602403640747070e+00,1.388718223571777344e+01,2.275921821594238281e+00,-4.867895841598510742e-01,-9.688809514045715332e-01,4.180769443511962891e+00,1.323318481445312500e+00,-3.061663806438446045e-01,-5.665066719055175781e+00,-1.523452758789062500e+00,6.438087463378906250e+00,1.043130874633789062e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.493981838226318359e+00,1.532289028167724609e+00,5.443217754364013672e+00
1.559566307067871094e+01,4.961746931076049805e-02,-2.015272378921508789e-01,-4.205507934093475342e-01,6.548870205879211426e-01,-1.210326099395751953e+01,4.527105808258056641e+00,-2.118240356445312500e+00,-5.497851848602294922e+00,4.836334228515625000e+00,1.727406978607177734e-01,-1.899006664752960205e-01,-3.117023468017578125e+00,7.493226528167724609e-01,-1.883892059326171875e+01,-5.665066719055175781e+00,-1.801985025405883789e+00,-1.176811218261718750e+01,-2.418167114257812500e+00,2.878056168556213379e-01,-4.584744453430175781e+00,-1.212175846099853516e+00,1.688405036926269531e+00,-4.406470775604248047e+00,-1.397712898254394531e+01,-1.027491092681884766e+00,1.260522460937500000e+01,-5.974295139312744141e+00,-4.871832132339477539e-01,-6.898432374000549316e-01,4.477629184722900391e+00,1.290467381477355957e+00,-2.867887496948242188e+00,-3.809695482254028320e+00,-1.389778852462768555e+00,6.122653484344482422e+00,5.215654373168945312e-01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.351526856422424316e+00,5.015852451324462891e-01,4.077325344085693359e+00
1.561489200592041016e+01,6.296986341476440430e-02,4.844404757022857666e-01,-1.929585933685302734e+00,4.935078024864196777e-01,-4.863782405853271484e+00,1.419977378845214844e+01,-2.164114713668823242e+00,6.409779787063598633e-01,6.211370468139648438e+00,1.495783925056457520e-01,-2.705115556716918945e+00,-2.523304700851440430e+00,4.215380847454071045e-01,-1.642834472656250000e+01,5.021871089935302734e+00,-1.993570685386657715e+00,-9.090968132019042969e+00,4.504428863525390625e+00,1.864667683839797974e-01,-7.165843486785888672e+00,2.770687580108642578e+00,1.502470731735229492e+00,-1.298688030242919922e+01,-1.791051673889160156e+01,-8.827433586120605469e-01,1.969440102577209473e+00,-1.204341983795166016e+01,-4.809762239456176758e-01,-1.162657216191291809e-01,-2.473828196525573730e-01,1.229246258735656738e+00,-3.205058097839355469e+00,-3.636527538299560547e+00,-1.308819293975830078e+00,1.714666604995727539e+00,-1.076321411132812500e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.906981706619262695e+00,-3.593696832656860352e+00,-1.555034041404724121e+00
1.563684463500976562e+01,6.775367259979248047e-02,5.813286080956459045e-02,-3.809695482254028320e+00,5.626919865608215332e-01,1.039415454864501953e+01,1.365553188323974609e+01,-2.085556507110595703e+00,6.793962001800537109e+00,6.211370468139648438e+00,9.968101978302001953e-02,-1.538582921028137207e+00,1.385343790054321289e+00,1.143422722816467285e-01,-3.817390918731689453e+00,2.031012916564941406e+01,-2.082491874694824219e+00,3.841823637485504150e-01,8.487292289733886719e+00,1.040513366460800171e-01,-1.232416629791259766e+00,4.304461002349853516e+00,1.154430508613586426e+00,-1.900169181823730469e+01,-9.895313262939453125e+00,-1.017586231231689453e+00,-1.284786701202392578e+01,-1.503056812286376953e+01,-4.743151664733886719e-01,-3.875523805618286133e-03,-7.421484589576721191e-01,1.139019250869750977e+00,-4.557616233825683594e+00,-5.739281654357910156e+00,-1.391484856605529785e+00,-8.822040557861328125e+00,-9.577837944030761719e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.830722719430923462e-02,7.305906295776367188e+00,4.532223701477050781e+00
1.565581512451171875e+01,6.763261556625366211e-02,7.285984754562377930e-01,-2.127492189407348633e+00,8.537498712539672852e-01,1.659886932373046875e+01,5.219777584075927734e+00,-1.876720428466796875e+00,1.509230041503906250e+01,8.961442947387695312e+00,9.050697088241577148e-02,1.612217903137207031e+00,-9.647929668426513672e-01,1.978780031204223633e-01,1.199474620819091797e+01,2.228919219970703125e+01,-1.998009681701660156e+00,7.430895805358886719e+00,7.633821487426757812e+00,1.137704104185104370e-01,1.480450034141540527e+00,4.675535202026367188e+00,1.097841739654541016e+00,-1.133590698242187500e+01,-1.056324672698974609e+01,-1.193975210189819336e+00,-1.370722198486328125e+01,-4.836334228515625000e+00,-4.716508388519287109e-01,4.069300293922424316e-01,-7.421484589576721191e-02,1.025599598884582520e+00,-5.348222732543945312e+00,5.689804553985595703e-01,-1.592406511306762695e+00,-1.248997116088867188e+01,-6.638105511665344238e-01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.841917514801025391e+00,6.615179061889648438e+00,-1.076193690299987793e+00
1.567564296722412109e+01,8.352828025817871094e-02,3.468593835830688477e+00,7.668867111206054688e-01,9.714992046356201172e-01,-9.223746657371520996e-01,-1.904847741127014160e+00,-1.794576168060302734e+00,-2.159509420394897461e+00,1.981948661804199219e+01,8.793336153030395508e-02,-1.840873718261718750e+00,-8.460492134094238281e+00,5.547592639923095703e-01,2.059065818786621094e+01,3.488097667694091797e+00,-1.772191882133483887e+00,1.565037631988525391e+01,1.564696311950683594e+01,1.876173168420791626e-01,4.658379554748535156e+00,2.424351692199707031e+00,9.590798616409301758e-01,-1.379686450958251953e+01,-1.716836738586425781e+01,-1.423584222793579102e+00,-1.424103450775146484e+01,-4.978579044342041016e+00,-4.484581947326660156e-01,3.201182603836059570e+00,4.205507934093475342e-01,9.270462393760681152e-01,-3.034535169601440430e+00,6.753551006317138672e+00,-1.800784349441528320e+00,-8.745203971862792969e+00,6.211370468139648438e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.610877037048339844e+00,1.276468658447265625e+01,1.312381649017333984e+01
1.569494533538818359e+01,1.578596234321594238e-01,6.999196529388427734e+00,-5.244515895843505859e+00,1.024545431137084961e+00,7.913819789886474609e+00,1.484296917915344238e-01,-1.793786287307739258e+00,1.320374131202697754e+00,1.877635574340820312e+01,1.113681793212890625e-01,7.603777885437011719e+00,-1.103327369689941406e+01,6.193411946296691895e-01,-3.681747615337371826e-01,1.340814876556396484e+01,-1.777973651885986328e+00,-9.501436233520507812e+00,3.437590408325195312e+01,2.284011393785476685e-01,2.100533962249755859e+00,5.195039510726928711e-01,8.386661410331726074e-01,-1.668025398254394531e+01,-1.375448513031005859e+01,-1.529692530632019043e+00,-1.144459056854248047e+01,-1.612111330032348633e+00,-4.318056106567382812e-01,-6.782166957855224609e-01,5.244515895843505859e+00,9.172666072845458984e-01,7.596026659011840820e-01,4.156031608581542969e+00,-1.870038270950317383e+00,-5.156131744384765625e+00,3.982863426208496094e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.578377437591552734e+01,-1.422155857086181641e+01,-4.094084799289703369e-01
1.571554279327392578e+01,1.176813244819641113e-01,-4.604122161865234375e+00,1.904847741127014160e+00,1.157100439071655273e+00,3.201182603836059570e+00,-9.153163909912109375e+00,-1.607966542243957520e+00,1.465959072113037109e+01,8.676952362060546875e+00,1.317449212074279785e-01,-3.398834466934204102e+00,-4.700273513793945312e+00,8.493898510932922363e-01,8.801314353942871094e+00,1.937007522583007812e+01,-1.721136093139648438e+00,6.628156661987304688e+00,2.214282417297363281e+01,2.275836616754531860e-01,-2.867887616157531738e-01,-5.442422032356262207e-01,3.770246505737304688e-01,-1.246755981445312500e+01,1.518930530548095703e+01,-1.782602071762084961e+00,-5.340135097503662109e+00,8.013141632080078125e+00,-4.360141754150390625e-01,-9.688809514045715332e-01,-1.286390662193298340e+00,1.049488544464111328e+00,7.351868629455566406e+00,3.908648490905761719e+00,-1.886451482772827148e+00,5.342156887054443359e+00,1.076321411132812500e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.389413356781005859e+00,9.786299705505371094e+00,7.625532150268554688e-01
1.573491287231445312e+01,5.945765972137451172e-02,-6.045817136764526367e-01,1.113222718238830566e+00,1.199216485023498535e+00,4.123557090759277344e+00,-8.163633346557617188e+00,-1.398167014122009277e+00,6.668597221374511719e+00,-2.892317533493041992e+00,8.514785766601562500e-02,-2.166417837142944336e+00,-1.410082101821899414e+00,9.527876377105712891e-01,7.437129974365234375e+00,3.859171867370605469e+00,-1.651124000549316406e+00,7.147814273834228516e+00,1.673750877380371094e+01,2.178948372602462769e-01,1.561836004257202148e+00,4.922918319702148438e+00,3.113830089569091797e-01,2.588849782943725586e+00,2.238814544677734375e+01,-1.807592868804931641e+00,1.089864730834960938e+00,9.388177871704101562e+00,-4.150317907333374023e-01,2.770999670028686523e+00,2.300660133361816406e+00,1.221071362495422363e+00,1.259545230865478516e+01,-2.226445376873016357e-01,-1.725922584533691406e+00,1.169329833984375000e+01,4.125108718872070312e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.295909166336059570e-01,1.634042739868164062e+01,9.684545516967773438e+00
1.575592613220214844e+01,8.528441190719604492e-02,-3.953034579753875732e-01,9.895312786102294922e-01,1.240908622741699219e+00,-1.577338218688964844e+00,-7.446222782135009766e+00,-1.335121273994445801e+00,-1.504377245903015137e+00,-1.043130874633789062e+01,9.383749961853027344e-02,1.162657141685485840e-02,1.805894613265991211e+00,1.062785863876342773e+00,3.480220317840576172e+00,2.820164203643798828e+00,-1.436316728591918945e+00,8.967625617980957031e+00,4.504428863525390625e+00,3.004313707351684570e-01,4.685508251190185547e+00,1.162699222564697266e+00,5.747672319412231445e-01,1.931173515319824219e+01,2.112649345397949219e+01,-1.714596033096313477e+00,6.266216754913330078e+00,1.085804462432861328e+01,-3.891445398330688477e-01,-2.019147872924804688e+00,3.364406347274780273e+00,1.450968623161315918e+00,1.358371162414550781e+01,-1.150330066680908203e+01,-1.597588062286376953e+00,-3.259484052658081055e+00,1.901343154907226562e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.752316284179687500e+01,1.349132657051086426e+00,1.579335117340087891e+01
1.577643108367919922e+01,1.136847138404846191e-01,3.642992496490478516e+00,-5.937187671661376953e-01,1.154981017112731934e+00,-8.002956390380859375e+00,-5.195039272308349609e+00,-1.421435952186584473e+00,-7.990993499755859375e+00,-7.776066780090332031e+00,1.279299855232238770e-01,4.046047210693359375e+00,-2.251183748245239258e+00,1.107596635818481445e+00,4.999426007270812988e-01,-7.668867111206054688e-01,-1.299830913543701172e+00,4.492911815643310547e+00,-8.392461776733398438e+00,2.864734530448913574e-01,6.200838088989257812e-02,-5.689804553985595703e-01,7.936434745788574219e-01,1.575012779235839844e+01,1.590671539306640625e+01,-1.847811937332153320e+00,-8.666344642639160156e+00,1.839703559875488281e+01,-4.593580961227416992e-01,-2.189670801162719727e+00,4.749750137329101562e+00,1.615920543670654297e+00,6.255095481872558594e+00,-8.485230445861816406e+00,-1.591411352157592773e+00,4.864962100982666016e+00,1.161668491363525391e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.226186752319335938e+00,3.878606796264648438e+00,2.334346771240234375e+00
1.579491424560546875e+01,1.590707302093505859e-01,3.236062526702880859e+00,6.679335832595825195e-01,9.754352569580078125e-01,-1.082433795928955078e+01,-1.509035229682922363e+00,-1.606102466583251953e+00,-1.033450603485107422e+01,-2.275921821594238281e+00,1.438862085342407227e-01,-2.402824640274047852e+00,-4.230246067047119141e+00,1.146412372589111328e+00,6.859677433967590332e-01,-7.644129276275634766e+00,-1.295060157775878906e+00,-4.725443363189697266e+00,-1.308655071258544922e+01,2.930436730384826660e-01,-1.399064064025878906e+00,-3.710742235183715820e+00,1.074861168861389160e+00,1.246755981445312500e+01,8.757351875305175781e+00,-1.885756254196166992e+00,2.931918203830718994e-01,1.962982749938964844e+01,-4.474288225173950195e-01,9.688809514045715332e-01,1.830632925033569336e+00,1.668119072914123535e+00,-8.991215229034423828e-01,-1.746522712707519531e+01,-1.433931350708007812e+00,1.018892097473144531e+01,8.676952362060546875e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.779603004455566406e+00,-1.408868026733398438e+01,1.413536643981933594e+01
1.581556415557861328e+01,1.710909008979797363e-01,6.743411421775817871e-01,1.781156301498413086e+00,7.083874344825744629e-01,-1.471148872375488281e+01,9.895312786102294922e-01,-1.812568902969360352e+00,-7.313619136810302734e+00,4.125108718872070312e+00,6.592160463333129883e-02,-4.398719310760498047e+00,-1.212175846099853516e+00,1.084858179092407227e+00,-7.813056468963623047e+00,-1.476875400543212891e+01,-1.487941145896911621e+00,-1.248794841766357422e+01,-9.293348312377929688e+00,2.875028848648071289e-01,-5.464488863945007324e-01,-3.686003923416137695e+00,1.198514580726623535e+00,4.429723739624023438e+00,5.714543342590332031e+00,-1.862819075584411621e+00,3.212977886199951172e+00,1.792288589477539062e+01,-4.776457548141479492e-01,-1.701354861259460449e+00,4.279722690582275391e+00,1.620522737503051758e+00,-5.239708423614501953e+00,-1.437294197082519531e+01,-1.221004009246826172e+00,1.155377960205078125e+01,7.112256288528442383e-01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.880224704742431641e+00,-3.330334663391113281e+00,1.263180828094482422e+01
1.583495807647705078e+01,1.842010617256164551e-01,9.495033025741577148e-01,2.226445376873016357e-01,5.440409779548645020e-01,-1.308764362335205078e+01,7.842035293579101562e+00,-1.882754802703857422e+00,-4.399899005889892578e+00,5.594974994659423828e+00,2.686357498168945312e-02,-2.922145128250122070e+00,5.195039510726928711e-01,9.333494305610656738e-01,-1.516492462158203125e+01,-8.534707069396972656e+00,-1.652987957000732422e+00,-1.422890186309814453e+01,-2.797487497329711914e+00,2.653094530105590820e-01,-2.243928432464599609e+00,-2.646996259689331055e+00,1.229579329490661621e+00,-7.518516182899475098e-01,-1.607988357543945312e+00,-1.817766070365905762e+00,5.586820602416992188e+00,1.555213356018066406e+01,-4.820965528488159180e-01,5.580754280090332031e-01,2.251183748245239258e+00,1.537804603576660156e+00,-6.538008689880371094e+00,-9.994265556335449219e+00,-1.103648304939270020e+00,1.134348964691162109e+01,-8.297632217407226562e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.375824451446533203e+00,1.037886381149291992e+00,9.080010414123535156e+00
